Chapter,Theme,문제 번호,분류 이유
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2026.06.05,"상업의 주체인 '대리상'과 '상업사용인'의 특징을 묻는 문제이므로, 상업의 주체를 다루는 '상업의 중요성' 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2026.06.17,"B2C, B2G 등 전자상거래에 참여하는 경제 주체(개인, 기업, 정부)의 역할을 묻고 있어, 상업의 기본 주체와 활동을 다루는 '상업의 중요성' 테마로 분류됩니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2025.11.02,"상업의 기능 중 운송을 통한 '장소적 불일치 해소'와 금융을 통한 '자금 불일치 해소'를 묻는 문제이므로, '상업의 중요성' 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2025.11.12,"경제 주체인 가계(A), 기업(B), 정부(C)의 역할과 이들 간의 전자상거래 유형(G2C, B2G)을 묻고 있으므로, '상업의 중요성' 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2025.11.16,"지식 재산권의 한 종류인 '저작권'의 침해 사례에 관한 문제이므로, 상업의 객체로서 무형 재화를 다루는 '상업의 중요성' 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2025.06.04,"재화 간의 관계(대체재, 보완재)는 상업 활동의 기본이 되는 수요-공급에 영향을 미치는 요소로, 가장 기본적인 상업 개념을 다루는 '상업의 중요성' 테마에 포함됩니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2025.06.06,"무형 재화 중 산업 재산권에 속하는 '특허권'의 취득에 대해 묻고 있으므로, '상업의 중요성' 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2024.11.02,"상업의 주체인 '상업사용인'과 '중개인'의 특징(경업금지 의무, 보수 수령 등)을 비교하는 문제이므로, '상업의 중요성' 테마로 분류됩니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2024.11.12,"타인의 상품과 식별되는 기호, 문자 등에 부여되는 권리인 '상표권'에 대해 묻고 있으므로, 상업의 객체(지식 재산권)를 다루는 '상업의 중요성' 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2024.09.01,"화폐의 기능 중 상품의 가격을 표시하는 '가치 척도 수단'으로서의 기능을 묻고 있어, 상거래의 기본 개념을 다루는 '상업의 중요성' 테마에 속합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2024.09.02,"상업의 객체 중 화물에 대한 권리를 나타내는 유가증권인 '창고증권'과 '선하증권' (상품 증권)에 대해 묻고 있으므로, '상업의 객체'를 다루는 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2024.09.04,"국민 경제의 주체인 '가계, 기업, 정부'의 특징과 역할을 구분하는 문제이므로, '상업의 중요성' 테마에 속합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2024.09.17,"여러 대안 중 하나를 선택할 때 포기하는 가치인 '기회비용(암묵적 비용, 명시적 비용)'을 계산하는 문제이므로, '합리적 선택'을 다루는 '상업의 중요성' 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2024.06.01,"대출을 통해 창업 자금을 마련하는 사례에서 나타난 '자금 불일치 해소 기능'을 묻고 있으므로, '상업의 기능'을 다루는 '상업의 중요성' 테마에 속합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2024.06.06,"특정 상인에게 종속되어 영업 활동을 보조하는 '상업 사용인'의 특징과 의무를 묻는 문제이므로, '상업의 주체'를 다루는 '상업의 중요성' 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2023.11.01,"대가 없이 얻을 수 있는 '자유재'였던 공기가 상품화되어 가치를 지불해야 하는 '경제재'로 성격이 변화한 사례를 묻고 있으므로, '상업의 객체'에 대한 기본적인 이해를 다루는 '상업의 중요성' 테마에 해당합니다."
Chapter 01: 상업 활동,Theme 1: 상업의 중요성,2023.11.02,"객주의 활동 사례를 통해 상업의 기능인 소유권 이전(매매), 보관(시간적 불일치 해소), 운송(장소적 불일치 해소), 금융(자금 융통)을 파악하는 문제이므로, '상업의 기능'을 다루는 '상업의 중요성' 테마에 해당합니다."
